Plate,Date Collected,In_treatment,Out_treatment,Pond,Clone,Replicate,Well,Hatch1,Hatch1HD,Hatch2,Hatch2HD,Hatch3,Hatch3HD,Hatch4,Hatch4H,Temp,Dried,Light,DriedLater,Early,Late,Leftover_eggs
040524C,4/3/24,,,P19,50,R2,E6,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E7,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E8,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E9,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E10,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E11,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E12,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F1,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F2,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F3,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F4,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F5,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F6,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F7,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F8,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F9,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F10,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F11,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,F12,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G1,,,,,,,,,Warm,Wet,Light,y,,,
040524C,4/3/24,,,P19,50,R2,G2,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G3,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G4,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G5,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G6,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G7,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G8,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G9,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G10,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G11,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,G12,,,,,,,,,Warm,Wet,Light,y,,,
040524C,4/3/24,,,P19,50,R3,H1,,,,,,,,,Warm,Wet,Light,y,,,
040524C,4/3/24,,,P19,50,R3,H2,,,,,,,,,Warm,Wet,Light,y,,,
040524C,4/3/24,,,P19,50,R3,H3,,,,,,,,,Warm,Wet,Light,y,,,
040524C,4/3/24,,,P19,50,R3,H4,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R3,H5,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R3,H6,4/17,HDE,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R3,H7,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R3,H8,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R3,H9,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R3,H10,,,,,,,,,Warm,Wet,Light,y,,,
040524C,4/3/24,,,P19,50,R3,H11,6/17,HD,,,,,,,Warm,Wet,Light,y,,,
040524C,4/3/24,,,P19,50,R3,H12,6/7,H,,,,,,,Warm,Wet,Light,y,,,
040524D,4/3/24,,,P19,50,R1,A1,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A2,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A3,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A4,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A5,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A6,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A7,6/17,HD,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A8,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A9,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A10,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A11,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,A12,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B1,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B2,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B3,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B4,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B5,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B6,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B7,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B8,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B9,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B10,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B11,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,B12,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C1,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C2,4/17,HE,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C3,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C4,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C5,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C6,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C7,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C8,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C9,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C10,4/17,HDE,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C11,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,C12,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D1,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D2,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D3,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D4,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D5,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D6,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D7,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D8,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D9,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D10,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D11,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R1,D12,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E1,6/17,D,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E2,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E3,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E4,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E5,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E6,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E7,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E8,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E9,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E10,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E11,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,E12,4/17,HDE,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F1,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F2,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F3,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F4,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F5,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F6,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F7,4/17,HDE,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F8,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F9,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F10,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F11,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,F12,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G1,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G2,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G3,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G4,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G5,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G6,6/17,HD,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G7,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G8,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G9,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G10,4/17,DE,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G11,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R2,G12,6/17,HD,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H1,4/17,HDE,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H2,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H3,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H4,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H5,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H6,4/17,HDE,6/17,HD,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H7,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H8,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H9,6/17,HD,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H10,,,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H11,4/17,HDE,,,,,,,Warm,Wet,Dark,,,,
040524D,4/3/24,,,P19,50,R3,H12,,,,,,,,,Warm,Wet,Dark,,,,
040524E,4/3/24,,,P19,50,R1,A1,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,A2,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,A3,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R1,A4,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R1,A5,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,A6,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,A7,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R1,A8,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,A9,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,A10,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,A11,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,A12,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,B1,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R1,B2,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,B3,6/25,HD,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R1,B4,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,B5,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R1,B6,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,B7,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,B8,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,B9,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,B10,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,B11,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,B12,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R1,C1,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,C2,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,C3,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R1,C4,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,C5,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,C6,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,C7,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,C8,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,C9,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,C10,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,C11,6/18,H,6/25,D,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,C12,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,D1,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,D2,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,D3,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,D4,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,D5,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,D6,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R1,D7,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,D8,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,D9,6/18,D,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R1,D10,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,D11,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R1,D12,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,E1,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,E2,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R2,E3,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,E4,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,E5,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,E6,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,E7,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,E8,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R2,E9,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,E10,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R2,E11,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,E12,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R2,F1,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,F2,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,F3,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,F4,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,F5,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,F6,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,F7,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R2,F8,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R2,F9,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R2,F10,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,F11,4/17,HDE,6/25,HD,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R2,F12,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G1,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G2,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G3,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G4,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G5,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G6,,,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R2,G7,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G8,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G9,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G10,6/18,H,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R2,G11,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R2,G12,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R3,H1,6/25,HD,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R3,H2,4/17,HE,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R3,H3,4/17,HDE,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R3,H4,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R3,H5,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R3,H6,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R3,H7,4/17,HDE,,,,,,,Warm,Dry,Light,,,,1
040524E,4/3/24,,,P19,50,R3,H8,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R3,H9,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R3,H10,,,,,,,,,Warm,Dry,Light,,,,2
040524E,4/3/24,,,P19,50,R3,H11,,,,,,,,,Warm,Dry,Light,,,,0
040524E,4/3/24,,,P19,50,R3,H12,,,,,,,,,Warm,Dry,Light,,,,0
040524F,4/3/24,,,P19,50,R1,A1,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A2,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A3,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A4,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A5,4/19,DE,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A6,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A7,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A8,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A9,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A10,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A11,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,A12,6/25,D,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B1,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B2,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B3,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B4,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B5,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B6,6/18,HD,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B7,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B8,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B9,6/18,H,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B10,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B11,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,B12,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C1,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C2,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C3,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C4,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C5,6/25,D,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C6,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C7,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C8,4/19,HDE,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C9,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C10,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C11,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,C12,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D1,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D2,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D3,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D4,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D5,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D6,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D7,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D8,6/25,D,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D9,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D10,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D11,6/25,H,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R1,D12,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R2,E1,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R2,E2,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R2,E3,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R2,E4,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R2,E5,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R2,E6,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R2,E7,,,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R2,E8,6/25,HD,,,,,,,Warm,Dry,Dark,,,,
040524F,4/3/24,,,P19,50,R2,E9,,,,,,,,,Warm,Dry,Dark,,,,
