Well,clone,date,sex,location,accuratelocation,notes,
Rockpool4_A2,P63,5/4/2024,F,Rockpool,P63,,
Rockpool4_A3,P63,5/4/2024,F,Rockpool,P63,,
Rockpool4_A4,P63,5/4/2024,F,Rockpool,P63,,
Rockpool4_A5,P63,5/4/2024,F,Rockpool,P63,,
Rockpool4_A6,P63,5/4/2024,F,Rockpool,P63,,
Rockpool4_A7,P63,5/4/2024,F,Rockpool,P63,,
Rockpool4_A8,P63,5/4/2024,F,Rockpool,P63,,
Rockpool4_A9,P63,5/4/2024,F,Rockpool,P63,,
Rockpool4_A10,P63,5/4/2024,F,Rockpool,P63,,
Rockpool4_A11,P63,5/4/2024,F,Rockpool,P63,,
Gilmer5_B2,P63_2425,2024,,US,P63,,
Gilmer5_B3,P63_2427,2024,,US,P63,,
Gilmer5_B4,P63_2418,2024,,US,P63,,
Rockpool2_C3,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_C4,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_C5,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_C6,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_C7,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_C8,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_C9,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_C10,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_C11,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_C12,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D1,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D2,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D3,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D4,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D5,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D6,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D7,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D8,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D9,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D10,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D11,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_D12,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_E1,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_E2,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_E3,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_E4,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_E5,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_E6,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_E7,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_E8,P66,7/12/2023,F,Rockpool,P66,,
Rockpool2_E9,P66,6/8/2021,F,Rockpool,P66,,
Rockpool2_E10,P66,6/8/2021,F,Rockpool,P66,,
Rockpool2_E11,P66,6/8/2021,F,Rockpool,P66,,
Rockpool2_E12,P66,6/8/2021,F,Rockpool,P66,,
Rockpool3_B9,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_B10,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_B11,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_B12,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C1,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C2,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C3,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C4,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C5,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C6,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C7,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C8,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C9,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C10,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C11,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_C12,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D1,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D2,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D3,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D4,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D5,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D6,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D7,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D8,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D9,P66,5/4/2024,F,Rockpool,P66,,
Rockpool3_D10,P66,5/4/2024,F,Rockpool,P66,,
Gilmer5_F2,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F3,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F4,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F5,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F6,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F7,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F8,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F9,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F10,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F11,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_F12,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G1,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G2,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G3,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G4,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G5,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G6,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G7,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G8,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G9,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G10,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G11,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_G12,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_H1,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_H2,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_H3,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_H4,P66,10/7/2023,F,Rockpool,P66,,
Gilmer5_H5,P66,10/7/2023,F,Rockpool,P66,,
Rockpool1_H1,P759,5/28/2024,F,Rockpool,P759,,
Rockpool1_H2,P759,5/28/2024,F,Rockpool,P759,,
Rockpool1_H3,P759,5/28/2024,F,Rockpool,P759,,
Rockpool1_H4,P759,5/28/2024,F,Rockpool,P759,,
Rockpool1_H5,P759,5/28/2024,F,Rockpool,P759,,
Rockpool1_H6,P759,5/28/2024,F,Rockpool,P759,,
Rockpool1_H7,P759,5/28/2024,F,Rockpool,P759,,
Rockpool1_H8,P759,5/28/2024,F,Rockpool,P759,,
Rockpool1_H9,P759,5/28/2024,F,Rockpool,P759,,
Rockpool1_H10,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A1,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A2,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A3,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A4,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A5,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A6,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A7,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A8,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A9,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A10,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A11,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_A12,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_B1,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_B2,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_B3,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_B4,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_B5,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_B6,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_B7,P759,5/28/2024,F,Rockpool,P759,,
Rockpool3_B8,P759,5/28/2024,F,Rockpool,P759,,
Gilmer5_H7,PBO66_2429A,2024,,Rockpool,PBO66,,
Gilmer5_H8,PBO66_2420A,2024,,Rockpool,PBO66,,
RobertUK_H4,P30_2306,2023,,UK,Knaresborough,,
RobertUK_C8,P30_2352,2023,,UK,Knaresborough,,
RobertUK_E7,P30_2364,2023,,UK,Knaresborough,,
RobertUK_H8,P30_2369,2023,,UK,Knaresborough,,
RobertUK_E1,P30_2376,2023,,UK,Knaresborough,,
RobertUK_D7,P6_2301,2023,,UK,Melford,,
RobertUK_G3,P6_2356,2023,,UK,Melford,,
RobertUK_A10,Pottcarr1_02,2023,,UK,PottericCarr,,
RobertUK_B2,PottCarr1_09,2023,,UK,PottericCarr,,
RobertUK_D2,PottCarr2_53,2023,,UK,PottericCarr,,
RobertUK_A8,Pottcarr2_55,2023,,UK,PottericCarr,,
RobertUK_B1,PottCarr2_56,2023,,UK,PottericCarr,,
RobertUK_H9,PottCarr3_50.1,2023,,UK,PottericCarr,,
RobertUK_G2,PottCarr3_50.2,2023,,UK,PottericCarr,,
RobertUK_A6,PSnake_55,2023,,UK,Reading,,
RobertUK_H3,PVet_60,2023,,UK,Manchester,,
RobertUK_A3,PVet_66,2023,,UK,Manchester,,
RobertUK_B10,PVet_67,2023,,UK,Manchester,,
RobertUK_E2,PVet_69,2023,,UK,Manchester,,
Gilmer5_C5,Scapholeberis ,5/10/2024,,US,Gilmer,,
RobertUK_E12,Shallow_02,2023,,UK,Melford,,
RobertUK_D12,Shallow_05,2023,,UK,Melford,,
RobertUK_D1,Shallow_06,2023,,UK,Melford,,
RobertUK_F12,Shallow_2452,2024,,UK,Melford,,
RobertUK_C1,Shallow_52,2023,,UK,Melford,,
RobertUK_D11,Sharp_2450,2024,,UK,Melford,,
RobertUK_B12,Warbler_02,2023,,UK,Melford,,
RobertUK_C2,Warbler_03,2023,,UK,Melford,,
Rockpool4_C3,Sididae,9/2/2023,X,Joanna_coll,,,
RobertUK_C5,Warbler_53,2023,,UK,Melford,,
RobertUK_A9,XXX5_1,2023,,UK,Melford,,
